GRPUSRCODE,USERCODE,USERBLOKIMAGE,GROUPBLOKIMAGE
ZH000745,SVELDKA3,True,False
ZH000730,PLONT,True,False
ZH000984,MSCHIPP3,True,False
ZH000745,SPILON,True,False
ZH001407,ZH001765,True,True
ZH001407,ZH001766,True,True
ZH001407,ZH001767,True,True
ZH001407,ZH001768,True,True
ZH001407,ZH001769,True,True
ZH001407,ZH001770,True,True
ZH001407,ZH001771,True,True
ZH001407,ZH001772,True,True
ZH001407,ZH001773,True,True
ZH001407,ZH001774,True,True
ZH001407,ZH001776,True,True
ZH001407,ZH001777,True,True
ZH001407,ZH001778,True,True
ZH001407,ZH001779,True,True
ZH001407,ZH001780,True,True
ZH001407,ZH001781,True,True
ZH001407,ZH001782,True,True
ZH001407,ZH001783,True,True
ZH001407,ZH001784,True,True
ZH001407,ZH001785,True,True
ZH001407,ZH001786,True,True
ZH001407,ZH001787,True,True
ZH001407,ZH001788,True,True
ZH001407,ZH001789,True,True
ZH001407,ZH001790,True,True
ZH001407,ZH001791,True,True
ZH001407,ZH001792,True,True
ZH001407,ZH001793,True,True
ZH001407,ZH001794,True,True
ZH001407,ZH001795,True,True
ZH001407,ZH001796,True,True
ZH001407,ZH001797,True,True
ZH001407,ZH001798,True,True
ZH001407,ZH001799,True,True
ZH001407,ZH001800,True,True
ZH001407,ZH001801,True,True
ZH001407,ZH001802,True,True
ZH001407,ZH001803,True,True
ZH001407,ZH001804,True,True
ZH001407,ZH001805,True,True
ZH001407,ZH001806,True,True
ZH001407,ZH001807,True,True
ZH001407,ZH001808,True,True
ZH001407,ZH001809,True,True
ZH001407,ZH001810,True,True
ZH001407,ZH001811,True,True
ZH001407,ZH001812,True,True
ZH001407,ZH001813,True,True
ZH001407,ZH001814,True,True
ZH001407,ZH001815,True,True
ZH001407,ZH001816,True,True
ZH001407,ZH001817,True,True
ZH000745,DLENOIR,True,False
ZH000745,MVOS42,True,False
ZH000730,RFAASSE,True,False
ZH000681,EKUHL,True,False
ZH000873,CMOSTERT,True,False
ZH000787,LHEUVELM,True,False
ZH001830,HGEND,False,False
ZH000987,MDORMAN2,False,False
ZH001830,MDORMAN2,False,False
ZH000766,MDORMAN2,False,False
ZH001064,ABIJENH2,False,True
ZH001067,PLEMMEN2,True,False
ZH000818,MFOEKEN,True,False
ZH001293,AJONG43,True,False
ZH001072,LHOOGENH,True,False
ZH000970,NFOLGE,True,False
ZH001382,PDIJK11,True,False
ZH000971,NFOLGE,True,False
ZH000609,DBRESSER,True,False
ZH001818,EKORNER,True,False
ZH000970,MOSTERK3,True,False
ZH000971,MOSTERK3,True,False
ZH000970,CBREIJ,True,False
ZH000971,CBREIJ,True,False
ZH001407,ZH000160,False,True
ZH001407,REERTMAN,False,True
ZH001407,RFENGLER,False,True
ZH001407,RGROENE5,False,True
ZH001407,RGROENEM,False,True
ZH001407,RHANNATI,False,True
ZH001407,RHOVIG,False,True
ZH001407,00000272,False,True
ZH001407,00000319,False,True
ZH001407,RKALMANN,False,True
ZH001407,RKETELAA,False,True
ZH001407,RKLIMSTR,False,True
ZH001407,RKOPPENO,False,True
ZH001407,RKORTENH,False,True
ZH001407,RKRAATS3,False,True
ZH001407,RKROL3,False,True
ZH001407,RKUIN,False,True
ZH001407,RKUIPER7,False,True
ZH001407,RKUIPER9,False,True
ZH001407,RLEEUWAA,False,True
ZH001407,RLEEUWE5,False,True
ZH001407,RLEEUWEN,False,True
ZH001407,RLEK,False,True
ZH001407,RLOBBEZO,False,True
ZH001407,RLOOIJE,False,True
ZH001407,RLOON2,False,True
ZH001407,00000169,False,True
ZH001407,RMEIJER4,False,True
ZH001407,RMEIJER6,False,True
ZH001407,RMENZO,False,True
ZH001407,RMINKHOR,False,True
ZH001407,RMOORING,False,True
ZH001407,RMOUW,False,True
ZH001407,00000521,False,True
ZH001407,00000441,False,True
ZH001407,RMUSSON,False,True
ZH001407,RNEIJZE3,False,True
ZH001407,ROJEN2,False,True
ZH001407,ROORSCHO,False,True
ZH001407,RPAS4,False,True
ZH001407,RRIRIASS,False,True
ZH001407,RSABAOG2,False,True
ZH001407,RSCHAAF,False,True
ZH001407,RSCHOONE,False,True
ZH001407,RSCHRIE2,False,True
ZH001407,RSCHWEIZ,False,True
ZH001407,RSLUIME2,False,True
ZH001407,RSMITS2,False,True
ZH001407,RSTURKE3,False,True
ZH001407,RSWINKEL,False,True
ZH001407,RTEEUW2,False,True
ZH001407,RTILLEMA,False,True
ZH001407,RTOL3,False,True
ZH001407,00000445,False,True
ZH001407,RTOP2,False,True
ZH001407,RTROS,False,True
ZH001407,RVLIEM,False,True
ZH001407,ZH001919,False,True
ZH001407,RWEIJER,False,True
ZH001407,00000337,False,True
