ConfiguredWorkContextId,SegmentId,Disabled
CS00000097,CSA018,False
CS00000098,CS00000188,False
CS00000098,CS00000185,False
CS00000099,CS00000002,False
CS00000100,CS00000167,False
CS00000101,GEV,False
CS00000101,GGZ,True
CS00000101,GGZGV,True
CS00000101,GGZAZR,True
CS00000101,KMH,False
CS00000101,GGZLGV,True
CS00000101,VDD,False
CS00000101,ZPPAT,False
CS00000102,GEV,False
CS00000102,GGZ,True
CS00000102,GGZAZR,True
CS00000102,GGZGV,True
CS00000102,GGZLGV,True
CS00000102,KMH,False
CS00000102,PSO,False
CS00000102,PSY,True
CS00000103,ACCES00001,False
CS00000106,CS00000018,False
CS00000105,CS00000018,False
CS00000107,PSY,True
CS00000107,VDD,False
CS00000108,PSY,True
CS00000108,VDD,False
CS00000109,CS00000064,True
CS00000109,CS00000028,True
CS00000109,CS00000062,True
CS00000110,CS00000064,False
CS00000110,CS00000078,False
CS00000110,CS00000065,False
CS00000110,CS00000218,False
CS00000111,CS00004561,True
CS00000074,CS00000296,False
CS00000074,CS00000318,False
CS00000077,CON,False
CS00000077,CSDOC,False
CS00000077,ICVE,False
CS00000077,ICVM,False
CS00000077,ICVV,False
CS00000077,KLI,False
CS00000077,PATH_P,False
CS00000077,TRA,False
CS00000077,VIW,False
CS00000077,VKO,False
CS00000077,VOE,False
CS00000077,VPL,False
CS00000077,ZCOALG,False
CS00000080,FUN,False
CS00000080,OOGVER,False
CS00000080,RTHONC,False
CS00000080,VPK CHI,False
CS00000080,VPKR,False
CS00000084,AFS,False
CS00000090,CS00000001,False
CS00000090,CS00000006,False
CS00000090,CS00000017,False
CS00000090,CS00000021,False
CS00000097,CSA042,False
CS00000097,CSA043,False
CS00000101,MMW,False
CS00000101,PSO,False
CS00000102,TRFWERK,True
CS00000102,VDD,False
CS00000109,CS00000218,True
CS00000109,CS00000078,False
CS00000112,CS00004561,True
CS00000112,CS00005087,True
CS00000113,GEV,False
CS00000113,GGZGV,True
CS00000113,GGZAZR,True
CS00000113,GGZLGV,True
CS00000113,PSO,True
CS00000113,VDD,False
CS00000113,TRFWERK,True
CS00000113,PSY,True
CS00000114,GGZ,True
CS00000113,ZPPAT,False
CS00000114,GGZAZR,True
CS00000114,GGZLGV,True
CS00000114,KMH,False
CS00000114,PSO,True
CS00000114,SEKSUOLOGI,False
CS00000114,ZPPAT,False
CS00000114,TRFWERK,True
CS00000115,CS00000028,False
CS00000116,MSW,False
CS00000116,GGZ,False
CS00000116,PSY,False
CS00000116,VDD,False
CS00000117,CS00000028,False
CS00000118,GGZ,False
CS00000118,VDD,False
CS00000119,CS00000271,False
CS00000118,PSY,False
CS00000121,CS00000188,True
CS00000121,CS00000149,False
CS00000121,CS00000231,True
CS00000121,CS00000203,False
CS00000123,CS00000018,False
CS00000124,FUN,False
CS00000125,FUN,False
CS00000128,MSW,False
CS00000128,GGZ,False
CS00000128,PSY,False
CS00000128,VDD,False
CS00000128,PSO,False
CS00000129,MSW,False
CS00000129,PSO,False
CS00000129,PSY,False
CS00000129,VDD,False
CS00000131,MSW,False
CS00000131,GGZ,False
CS00000131,PSY,False
CS00000131,VDD,False
CS00000132,CS00000050,False
CS00000133,AGENDA,False
CS00000135,CS00000224,False
CS00000136,DT00000001,False
CS00000135,CS00000271,False
CS00000136,DT00000004,False
CS00000139,DT00000001,False
CS00000140,DT00000001,False
CS00000142,CS00000006,False
CS00000143,CS00000218,False
CS00000143,CS00000224,False
CS00000143,CS00000271,False
CS00000145,CS00000224,True
CS00000145,CS00000271,True
CS00000145,CS00000228,True
CS00000148,CS00000002,True
CS00000149,CS00000167,True
CS00000150,DBCGGZ,False
CS00000151,CS00000168,False
CS00000147,CS00000185,True
CS00000149,CS00000143,True
CS00000152,CS00000006,False
