Id,OwnerId,OwnerType,SettingId,SettingSubId,SegmentClassId,ContextType,Inverted
CS00000833,BAPLA0,G,OND_RECHTEN,VRAGENLI,VRLIJST_VRLCAT,4,False
CS00000832,BAPLA0,G,OND_RECHTEN,VRAAG,VRLIJST_VRLCAT,5,False
CS00000835,BAPLA0,G,OND_RECHTEN,VRAGENLI,VRLIJST_VRLCAT,5,False
CS00000836,BAPLA0,G,OND_RECHTEN,VRKEUZEDEF,VRLIJST_VRLCAT,5,False
CS00000844,BAPME0,G,DOSS_ISETTINGS,,DOSSIER_WSETTINGCAT,6,False
CS00000848,BAPME0,G,OND_RECHTEN,VRAAG,VRLIJST_VRLCAT,4,False
CS00000849,BAPME0,G,OND_RECHTEN,VRAGENLI,VRLIJST_VRLCAT,0,False
CS00000847,BAPME0,G,OND_RECHTEN,VRAAG,VRLIJST_VRLCAT,1,False
CS00000853,BAPME0,G,OND_RECHTEN,VRKEUZEDEF,VRLIJST_VRLCAT,1,False
CS00000859,BAPNZ0,G,DOSS_WSETTINGS,,DOSSIER_WERKSETTING,0,False
CS00000862,BAPNZ0,G,OND_RECHTEN,VRAAG,VRLIJST_VRLCAT,1,False
CS00000863,BAPNZ0,G,OND_RECHTEN,VRAAG,VRLIJST_VRLCAT,4,False
CS00000864,BAPNZ0,G,OND_RECHTEN,VRAGENLI,VRLIJST_VRLCAT,0,False
CS00000869,BAPOK0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,SYSTEM_DATASETCAT,6,False
CS00000875,BAPOK0,G,OND_RECHTEN,VRAAG,VRLIJST_VRLCAT,1,False
CS00000877,BAPOK0,G,OND_RECHTEN,VRAAG,VRLIJST_VRLCAT,3,False
CS00000879,BAPOK0,G,OND_RECHTEN,VRAGENLI,VRLIJST_VRLCAT,1,False
CS00000880,BAPOK0,G,OND_RECHTEN,VRAGENLI,VRLIJST_VRLCAT,4,False
CS00000884,BAPOP0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,SYSTEM_DATASETCAT,6,False
CS00000890,BAPPA0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,OVZGEN_OVZCAT,6,False
CS00000893,BAPPD0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,MATRIX_CATEGORY,6,False
CS00000894,BAPPD0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,ZISCON_MODULE,6,False
CS00000895,BAPPD0,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,ORDERCOM_ORDCAT,6,False
CS00001347,COPSY,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,MULTIMED_MULTCATE,6,False
CS00001352,COPSY,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,WEBAGEN_AGVRWCAT,6,False
CS00001356,COPSY,G,DOSS_NOODPREXEMP,,DOSSIER_SUBDOSS,0,False
CS00001357,COPSY,G,DOSS_WSETTINGS,,DOSSIER_WERKSETTING,6,False
CS00001355,COPSY,G,DOSS_NOODPR,,DOSSIER_SUBDOSS,0,True
CS00001359,COPSY,G,OND_RECHTEN,BEANTW,VRLIJST_VRLCAT,1,False
CS00001363,COPSY,G,OND_RECHTEN,MET_PATSDOSS,DOSSIER_SUBDOSS,1,False
CS00001360,COPSY,G,OND_RECHTEN,CONSULT_REG,CONSULT_ACCESS,0,False
CS00001362,COPSY,G,OND_RECHTEN,MET_PATSDOSS,DOSSIER_SUBDOSS,0,False
CS00001368,COPSY,G,WI_EPDDASHBOARD,,CSZISLIB_SPEC,0,False
CS00001371,COREU,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_SUBDOSS,6,False
CS00001370,COREU,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,MULTIMED_MULTCATE,6,False
CS00001372,COREU,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,ECONSULT_POSTBOX,6,False
CS00001374,COREU,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,RP_PROGRAMDEFINITION,6,False
CS00001376,COREU,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,WEBAGEN_AGVRWCAT,6,False
CS00001377,COREU,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,VRLIJST_VRLCAT,6,False
CS00001375,COREU,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_SPEC,6,False
CS00001383,COREV,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,WEBAGEN_AGVRWCAT,6,False
CS00001386,COREV,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_SUBDOSS,6,False
CS00001385,COREV,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,MULTIMED_MULTCATE,6,False
CS00001388,COREV,G,DOSS_NOODPR,,DOSSIER_SUBDOSS,0,True
CS00001387,COREV,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,AGENDA_AGENDA,6,False
CS00001390,COREV,G,DOSS_WSETTINGS,,DOSSIER_WERKSETTING,6,False
CS00001391,COSPO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,RP_PROGRAMDEFINITION,6,False
CS00001392,COSPO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,ZP_EZORGPCAT,6,False
CS00001398,COSPO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_SUBDOSS,6,False
CS00001400,COSPO,G,DOSS_NOODPR,,DOSSIER_SUBDOSS,0,True
CS00001401,COSPO,G,DOSS_NOODPREXEMP,,DOSSIER_SUBDOSS,0,False
CS00001402,COSPO,G,DOSS_WSETTINGS,,DOSSIER_WERKSETTING,6,False
CS00001403,COTAN,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,RP_PROGRAMDEFINITION,6,False
CS00001405,COTAN,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,DOSSIER_SUBDOSS,6,False
CS00001406,COTAN,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,MULTIMED_MULTCATE,6,False
CS00001407,COTAN,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,CSZISLIB_SPEC,6,False
CS00001413,COURO,G,__CSSTD__CSSTD__,_CSSTDCSSTD_,WI_DOCCAT,6,False
